date,state,rain_sum,rain_max,snowfall_sum,snowfall_max,relative_humidity_2m_min,relative_humidity_2m_max,relative_humidity_2m_mean,apparent_temperature_min,apparent_temperature_max,wind_speed_10m_min,wind_speed_10m_max,wind_speed_10m_mean,wind_direction_10m_min,wind_direction_10m_max,wind_direction_10m_mean,apparent_temperature_min_lag,apparent_temperature_max_lag,us_aqi_pm2_5_min,us_aqi_pm2_5_max,us_aqi_pm2_5_mean,us_aqi_min,us_aqi_max,us_aqi_mean,us_aqi_pm10_min,us_aqi_pm10_max,us_aqi_pm10_mean,us_aqi_nitrogen_dioxide_min,us_aqi_nitrogen_dioxide_max,us_aqi_nitrogen_dioxide_mean,us_aqi_carbon_monoxide_min,us_aqi_carbon_monoxide_max,us_aqi_carbon_monoxide_mean,us_aqi_ozone_min,us_aqi_ozone_max,us_aqi_ozone_mean,us_aqi_sulphur_dioxide_min,us_aqi_sulphur_dioxide_max,us_aqi_sulphur_dioxide_mean,us_aqi_min_lag,us_aqi_max_lag,us_aqi_mean_lag
2023-01-01,CHI,0.08661418,0.08661418,0.0,0.0,83.0,97.0,91.708336,25.320604,41.43826,2.0256896,9.574778,5.086612,123.690094,276.3401,194.59633,22.747356,31.862732,72.73049,76.32092,74.36872,2,2,2,29.465908,31.685608,30.467012,7.855595,23.936169,16.420204,2.5434785,5.1787443,3.8073673,3.710575,13.566791,6.5297427,1.6085061,7.4427485,4.2859416,2.0,2.0,2.0
2023-01-02,CHI,0.0,0.0,0.0,0.0,87.0,99.0,93.833336,30.68809,37.060593,1.5006253,8.423723,3.9067738,10.713074,351.4693,163.12874,25.320604,41.43826,76.303185,113.18749,98.98477,2,3,2,31.67803,51.7375,44.651443,12.879236,25.8816,16.45304,3.4625604,8.190822,6.0495677,0.0,6.89935,2.0702884,3.5441656,7.497274,4.6130953,2.0,2.0,2.0
2023-01-03,CHI,0.46062994,0.18503937,0.0,0.0,92.0,100.0,97.875,32.083702,42.33644,1.5817978,13.005418,6.2813306,11.3098955,360.0,103.918465,30.68809,37.060593,63.1383,108.55206,81.12815,2,3,2,23.818186,50.435417,34.78314,8.323483,30.21572,15.66399,2.4444444,5.636473,3.1997283,2.0292208,7.6530614,4.570578,0.9269358,3.4896402,2.1276355,2.0,3.0,2.0
2023-01-04,CHI,0.0,0.0,0.0,0.0,87.0,98.0,91.416664,25.797535,41.43694,1.0004169,10.798016,5.556931,102.99462,311.49637,217.83452,32.083702,42.33644,63.28014,80.026596,76.614586,2,2,2,23.727272,33.946968,31.884626,7.584712,26.22636,13.888889,2.3586957,8.89372,4.9659324,0.23191094,9.160482,2.5896723,1.1995639,4.116685,2.4013996,2.0,3.0,2.0
2023-01-05,CHI,0.0,0.0,0.0,0.0,84.0,96.0,90.125,22.994728,26.92558,3.6689527,10.516279,7.055567,199.17911,254.62369,227.3496,25.797535,41.43694,25.53819,58.014183,36.725227,1,2,1,7.9507575,20.507578,11.664616,4.678881,17.164104,9.979561,1.8454107,2.2741547,2.0479066,8.580705,13.334879,11.126893,2.7535443,4.2257366,3.6464014,2.0,2.0,2.0
2023-01-06,CHI,0.0,0.0,0.0,0.0,88.0,96.0,92.083336,19.102335,25.173943,5.217536,9.766241,7.956693,221.49637,260.31128,244.7122,22.994728,26.92558,25.677082,38.14236,30.03183,1,1,1,8.0,11.91288,9.369003,3.8908594,18.518518,10.149888,1.8538647,2.4722223,2.1939414,2.7249537,21.567717,11.619704,1.6902944,3.6259546,2.4718287,1.0,2.0,1.0
2023-01-07,CHI,0.0,0.0,0.0,0.0,74.0,93.0,85.0,19.966501,25.678738,0.31635958,8.056306,4.3171954,1.5911111,358.36346,224.5457,19.102335,25.173943,40.017357,43.00347,41.187065,1,1,1,12.492425,13.431817,12.860322,5.8855395,18.149132,11.628456,1.9589372,2.5144928,2.1916769,15.016233,21.683674,19.094,2.9171212,3.816794,3.3749094,1.0,1.0,1.0
2023-01-08,CHI,0.0,0.0,0.0,0.0,79.0,86.0,83.458336,22.254622,28.560078,0.50020844,8.133579,3.3413537,8.97255,330.25522,160.87836,19.966501,25.678738,40.06945,55.531918,50.241302,1,2,2,12.518939,19.007574,16.304607,10.7368,25.142828,19.760063,2.1280193,3.3297102,2.8555758,12.349257,22.959183,16.888432,2.9171212,6.924754,4.141676,1.0,1.0,1.0
2023-01-09,CHI,0.0,0.0,0.0,0.0,69.0,95.0,85.333336,18.966135,35.386005,4.3950076,9.888451,7.225502,165.2564,285.7087,229.58443,22.254622,28.560078,55.700363,63.156025,57.39842,2,2,2,19.14394,23.840908,20.181976,7.018322,23.246653,16.325806,2.3731883,3.5,2.9381542,8.522727,22.611317,12.228471,3.5714288,6.324973,4.9004908,1.0,2.0,2.0
2023-01-10,CHI,0.0,0.0,0.0,0.0,73.0,93.0,82.583336,27.619202,40.988743,1.9112936,11.144661,5.8361087,102.09474,207.55272,167.3524,18.966135,35.386005,62.819145,65.16844,63.96646,2,2,2,23.655304,25.215908,24.512312,5.2698975,22.729511,13.915566,1.9698067,3.731884,2.928291,5.102041,14.146568,9.769248,2.3718648,8.478735,4.295029,2.0,2.0,2.0
